Appl_Type~Appl_No~Product_No~Patent_No~Patent_Expire_Date_Text~Drug_Substance_Flag~Drug_Product_Flag~Patent_Use_Code~Delist_Flag
N~020785~002~6869399~Oct 23, 2020~~~U-732~
N~013217~003~7122566~Feb 6, 2026~~~U-915~
N~013217~003~7714006~Dec 3, 2021~~~U-1050~
N~013718~001~5872147~Dec 5, 2017~~~U-585~
N~013718~001~6090799~Jul 18, 2017~~~U-585~
N~013718~001~6576659~Dec 5, 2017~~~U-585~
N~013718~001~6828313~Dec 5, 2017~~~U-585~
N~013718~002~5872147~Dec 5, 2017~~~U-585~
N~013718~002~6090799~Jul 18, 2017~~~U-585~
N~013718~002~6576659~Dec 5, 2017~~~U-585~
N~013718~002~6828313~Dec 5, 2017~~~U-585~
N~018613~001~7560445~Feb 1, 2027~Y~Y~U-986~
N~018705~002~7872049~Mar 14, 2028~~Y~U-39~
N~018708~001~7608616~Jun 3, 2028~~~U-1012~
N~018708~003~7608616~Jun 3, 2028~~~U-1012~
N~018859~001~6150337~Nov 21, 2017~~~U-400~
N~018936~001~6960577~Nov 1, 2017~~~U-963~
N~018936~003~6960577~Nov 1, 2017~~~U-963~
N~018936~006~6960577~Nov 1, 2017~~~U-963~
N~019734~002~7659291~Apr 18, 2027~~~U-1029~
N~019734~002~8455524~Apr 18, 2027~~~U-1029~
N~019734~003~7659291~Apr 18, 2027~~~U-1029~
N~019734~003~8455524~Apr 18, 2027~~~U-1029~
N~019734~004~7659291~Apr 18, 2027~~~U-1029~
N~019734~004~8455524~Apr 18, 2027~~~U-1029~
N~019734~005~7659291~Apr 18, 2027~~~U-1029~
N~019734~005~8455524~Apr 18, 2027~~~U-1029~
N~019881~001~5993856~Nov 17, 2017~~Y~U-457~
N~019901~001~7368469~Aug 30, 2020~~~U-871~
N~019901~002~7368469~Aug 30, 2020~~~U-871~
N~019901~003~7368469~Aug 30, 2020~~~U-871~
N~019901~004~7368469~Aug 30, 2020~~~U-871~
N~020031~001~6121291~Mar 17, 2017~~~U-431~
N~020031~001~6121291~Mar 17, 2017~~~U-286~
N~020031~002~6121291~Mar 17, 2017~~~U-431~
N~020031~002~6121291~Mar 17, 2017~~~U-286~
